GeneID	S1	S2	S3	S4	S5	S6	S7	S8	S9
Os01g0100200	1	0	0	0	1	0	2	1	0
Os01g0100400	344	330	415	345	306	477	435	488	284
Os01g0100466	0	0	0	0	0	0	0	0	0
Os01g0100500	1281	1213	1406	912	1025	1329	1111	1336	769
Os01g0100600	101	108	118	84	80	106	93	129	78
Os01g0100900	1157	1025	1066	787	1051	1051	951	1182	613
Os01g0101200	364	307	421	299	364	388	356	352	218
Os01g0101300	79	55	79	59	43	68	81	75	55
Os01g0101600	2307	2212	2763	1805	1565	2635	2443	2737	1541
Os01g0101700	135	147	143	75	58	165	129	116	97
Os01g0102300	80	60	72	60	78	62	46	103	43
Os01g0102400	3	0	1	2	2	0	2	0	0
Os01g0102700	2605	2702	2871	1869	1970	2461	2435	3042	1834
Os01g0102800	355	350	389	276	300	413	307	460	242
Os01g0102850	70	114	129	70	66	112	92	158	65
Os01g0102900	941	893	602	490	547	657	611	698	507
Os01g0103000	572	587	681	487	436	804	731	714	602
Os01g0103075	0	0	0	0	0	0	0	0	0
Os01g0103400	61	59	102	71	43	35	140	114	50
Os01g0103650	0	0	0	0	0	0	0	0	0
Os01g0103900	108	151	136	85	55	134	132	134	113
Os01g0104100	773	643	803	619	733	826	796	679	484
Os01g0104200	11	2	26	12	21	0	1	5	0
Os01g0104400	5135	4521	5746	3332	4407	3733	4369	3925	2366
Os01g0104500	10	11	7	5	4	4	8	17	2
Os01g0104600	741	649	812	481	550	712	608	755	407
Os01g0104800	732	658	910	610	601	1011	856	793	565
Os01g0104900	1916	1908	2317	1794	1992	2471	2121	1821	1394
Os01g0106200	2303	2047	2108	1420	1724	1748	1806	1992	1415
Os01g0106300	459	406	598	293	633	282	257	260	112
Os01g0106400	1689	1844	2526	1180	2393	844	1500	1828	728
Os01g0106600	63	61	67	57	66	82	56	32	35
Os01g0107000	668	646	528	453	417	554	541	577	452
Os01g0107400	181	228	154	158	201	267	171	185	152
Os01g0107750	0	0	0	0	0	0	0	0	0
Os01g0108000	1184	1092	1278	815	914	1200	996	1078	644
Os01g0108600	622	591	658	499	515	584	566	614	466
Os01g0109201	0	0	0	0	0	0	0	0	0
Os01g0109366	0	0	0	0	0	0	0	2	0
Os01g0109500	93	122	155	79	100	121	119	93	74
Os01g0109750	457	487	427	274	299	367	343	493	329
Os01g0110050	0	0	0	0	1	2	0	0	0
Os01g0110400	1542	1859	1009	684	540	900	1023	1244	855
Os01g0110600	0	2	0	0	0	0	0	3	0
Os01g0110700	496	357	560	413	383	674	504	503	305
Os01g0110800	2795	2630	3321	1955	1624	3123	3625	3009	2485
Os01g0111000	0	1	1	0	0	1	0	2	0
Os01g0111200	3443	3067	3597	2504	2431	3738	3523	3047	2240
Os01g0111300	40	43	21	27	39	45	26	23	15
Os01g0111600	0	1	0	0	0	0	0	0	0
Os01g0111700	86	13	23	5	13	6	3	12	6
Os01g0112100	43	35	37	29	4	36	32	48	37
Os01g0112300	614	604	675	456	526	773	682	818	583
Os01g0112400	283	14	92	475	2730	203	14	7	5
Os01g0112500	587	596	493	514	441	559	611	720	449
Os01g0112600	101	64	25	9	1	1	26	120	32
Os01g0113000	91	95	125	86	73	126	116	155	97
Os01g0113150	0	0	0	0	0	0	0	0	0
Os01g0113300	1	7	0	3	0	4	5	4	3
Os01g0113350	11	8	16	5	7	15	23	18	14
