GeneID	GOID
Os01g0100100	GO:0090630,GO:0005096,GO:0016021,GO:0005507,GO:0006886,GO:0016491
Os01g0100400	GO:0005507,GO:0046658,GO:0006508,GO:0016491,GO:0009506,GO:0004185,GO:0016021
Os01g0100500	GO:0005507,GO:0016021,GO:0016491
Os01g0100600	GO:0003676,GO:0016310,GO:0016301
Os01g0100650	GO:0016021
Os01g0100700	GO:0015935,GO:0003735,GO:0006412,GO:0003723,GO:0022626,GO:0000028
Os01g0100900	GO:0030170,GO:0019752,GO:0005783,GO:0016830,GO:0030149,GO:0016021,GO:0042175,GO:0031984,GO:0031090
Os01g0101150	GO:0008270,GO:0009451,GO:0043231,GO:0003723,GO:0005737,GO:0016787,GO:0000959,GO:0016071,GO:0140053,GO:0006396
Os01g0101200	GO:0043874,GO:0019509,GO:0005737,GO:0000287,GO:0008270,GO:0016311,GO:0016829
Os01g0101600	GO:0003723,GO:0046872
Os01g0101700	GO:0061077,GO:0009507,GO:0005515,GO:1902395,GO:0010322,GO:0008270,GO:0005524,GO:0005634,GO:0016021,GO:0009408,GO:0006260
Os01g0102000	GO:0016788,GO:0009395,GO:0009507,GO:0048229,GO:0048364,GO:0005576,GO:0016021
Os01g0102300	GO:0009543,GO:0005829
Os01g0102400	GO:0046982,GO:0045944,GO:0005634,GO:0003677,GO:0001228
Os01g0102600	GO:0016301,GO:0016310,GO:0009507
Os01g0102700	GO:0005783,GO:0042175,GO:0031984,GO:0031090,GO:0009506,GO:0005773,GO:0005794,GO:0016021
Os01g0102800	GO:0070615,GO:0006283,GO:0005634,GO:0005524,GO:0008094,GO:0003677,GO:0016787
Os01g0102900	GO:0009507,GO:0007623,GO:0008373,GO:0008270,GO:0071482,GO:0009532,GO:0007034,GO:0009846,GO:0055035,GO:0009860,GO:0097503,GO:0098796,GO:0005768,GO:0006486,GO:0000139,GO:0016021
Os01g0103000	GO:0007034,GO:0005768,GO:0005515,GO:0032509,GO:0006900,GO:0012506,GO:0098588,GO:0015031
Os01g0103100	GO:0006857,GO:0022857,GO:0016021,GO:0055085
Os01g0103600	GO:0047750,GO:0016125,GO:0005789,GO:0000247,GO:0004769,GO:0006694,GO:1901617,GO:0016021,GO:0006952,GO:0005886
Os01g0104000	GO:0004713,GO:0018108,GO:0016021,GO:0030246,GO:0005886,GO:0005524,GO:0106310,GO:0106311,GO:0019199
Os01g0104100	GO:1902551,GO:0005829,GO:0016874,GO:0005634,GO:2000470,GO:0035556
Os01g0104200	GO:0006355,GO:0003677,GO:0005634,GO:0048731
Os01g0104500	GO:0006355,GO:0003677,GO:0005783,GO:0005634,GO:0042803,GO:0016021,GO:0001067,GO:0003700,GO:2000014,GO:1903508,GO:1901406,GO:0010271,GO:1900057
Os01g0104600	GO:0005975,GO:1990756,GO:0031461,GO:0032436,GO:0031625,GO:0005634,GO:0016021,GO:0006281,GO:0016567,GO:0009585
Os01g0104800	GO:0000462,GO:0032040,GO:0005730
Os01g0104900	GO:0016747
Os01g0105700	GO:0046983,GO:0005634,GO:0006357,GO:0000978,GO:0000981
Os01g0105800	GO:0016226,GO:0051536,GO:0005739,GO:0046872,GO:0097428
Os01g0105900	GO:0016301,GO:0016310,GO:0015935,GO:0016773,GO:0046031,GO:0003735,GO:0016021,GO:0006090,GO:0016052,GO:0046034,GO:0006091,GO:0006412
Os01g0106300	GO:0016491,GO:0009806,GO:0016021,GO:0009699,GO:0046686
Os01g0106700	GO:0106310,GO:0006974,GO:0005634,GO:0106311,GO:0006468,GO:0016021,GO:0006259,GO:0005524,GO:1904262,GO:2001020,GO:0003950,GO:0031570,GO:0032200,GO:0060249,GO:0008380
Os01g0106800	GO:0008270,GO:0031461,GO:0006511,GO:0097602,GO:0016567,GO:0005634,GO:0061630,GO:0005737,GO:0016021,GO:0016301,GO:0005524,GO:0016310
Os01g0106900	GO:0030604,GO:0019288,GO:0009570,GO:0070402,GO:0046872,GO:0016021,GO:0016853,GO:0051483,GO:0046686
Os01g0107000	GO:0016560,GO:0005778,GO:0005102,GO:1990429,GO:0016021,GO:0005829,GO:0005739,GO:0005886
Os01g0107700	GO:0006486,GO:0005794,GO:0016757,GO:0098588,GO:0031984,GO:0016021,GO:0005938,GO:0005783,GO:0097036,GO:0032366,GO:0016125,GO:0006665
Os01g0107900	GO:0010343,GO:0042651,GO:0009507,GO:0016021
Os01g0108200	GO:0004252,GO:0006508,GO:0005829,GO:0009507,GO:0070012,GO:0005739
Os01g0108400	GO:0006357,GO:0046983,GO:0090575,GO:0003700,GO:0003677,GO:0001067,GO:0016021
Os01g0108600	GO:0006357,GO:0046983,GO:0090575,GO:0003700,GO:0003677,GO:0001067,GO:0050832
Os01g0109300	GO:0016787,GO:0006203,GO:0005634,GO:0005524,GO:0016021,GO:0046872
Os01g0109700	GO:0003714,GO:0045892,GO:0005634,GO:0000785,GO:0070013,GO:1902494,GO:0016021,GO:0016575,GO:0006357
Os01g0110100	GO:0006817,GO:0000822,GO:0005794,GO:0015114,GO:0016021,GO:0016036,GO:0005886,GO:0052832,GO:0052833,GO:0008934,GO:0098661,GO:0016311
Os01g0110400	GO:0016747,GO:0006635,GO:0016021
Os01g0110500	GO:0004674,GO:0006468,GO:0016021,GO:0005524
Os01g0110700	GO:0008964,GO:0015977,GO:0005737,GO:0006099,GO:0016021,GO:0046982,GO:0016435,GO:0015979,GO:0070476,GO:0016301,GO:0016310
Os01g0110800	GO:0106310,GO:0009610,GO:0016021,GO:0106311,GO:0006468,GO:0005886,GO:0044403
Os01g0111000	GO:0004857,GO:0043086
Os01g0111100	GO:0003755,GO:0000413,GO:0009507,GO:0003697
Os01g0111400	GO:0046983,GO:0005634,GO:0003677,GO:0046872,GO:0016740
Os01g0111500	GO:0046983,GO:0005634,GO:0006357,GO:0000978,GO:0000981,GO:0016787
Os01g0112400	GO:0015267,GO:0055085,GO:0016021,GO:0005886
Os01g0112500	GO:0005741,GO:0016021,GO:0005634
Os01g0112800	GO:0043531,GO:0006952,GO:0016021,GO:0006468,GO:0005524,GO:0030247,GO:0004672
Os01g0113150	GO:0043531,GO:0006952,GO:0016021,GO:0005524
Os01g0113200	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524,GO:0018212
Os01g0113300	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0113350	GO:0004672,GO:0006468,GO:0016021,GO:0005524
Os01g0113400	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0113500	GO:0004672,GO:0006468,GO:0016021,GO:0030247,GO:0005524
Os01g0113650	GO:0004672,GO:0006468,GO:0016021,GO:0005524
Os01g0113700	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0113800	GO:0004672,GO:0006468,GO:0016021,GO:0030247,GO:0005524
Os01g0113900	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0114100	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0114400	GO:0004672,GO:0006468,GO:0016021,GO:0030247,GO:0005524
Os01g0114600	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0114700	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0114900	GO:0004672,GO:0006468,GO:0016021,GO:0005524,GO:0030247
Os01g0115200	GO:0043864,GO:0016021,GO:0004040,GO:0016884,GO:0140101
Os01g0115500	GO:0004672,GO:0006468,GO:0016021,GO:0030247,GO:0005524
Os01g0115566	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0115600	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0115700	GO:0030247,GO:0006468,GO:0004672,GO:0005524
Os01g0115750	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0115900	GO:0030247,GO:0016310,GO:0016021,GO:0016301,GO:0006464,GO:0016773,GO:0140096,GO:0005524
Os01g0116000	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0116200	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0116400	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0116600	GO:0003924,GO:0006414,GO:0005525,GO:0046872,GO:0003746
Os01g0116800	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0116900	GO:0004672,GO:0006468,GO:0016021,GO:0030247,GO:0005524
Os01g0117000	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0117100	GO:0004672,GO:0006468,GO:0016021,GO:0030247,GO:0005524
Os01g0117200	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0117300	GO:0004672,GO:0006468,GO:0016021,GO:0030247,GO:0005524
Os01g0117400	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0117500	GO:0004672,GO:0006468,GO:0016021,GO:0030247,GO:0005524
Os01g0117600	GO:0030247,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0117700	GO:0004672,GO:0006468,GO:0016021,GO:0030247,GO:0005524
Os01g0118000	GO:0004332,GO:0006096,GO:0005829,GO:0010287,GO:0003724,GO:0009534,GO:0140603,GO:0005739,GO:0031418,GO:0016021,GO:0005524,GO:0051213,GO:0030388,GO:0016705,GO:0003676,GO:0005506,GO:0046686,GO:0006979
Os01g0118100	GO:0003724,GO:0005524,GO:0003676
Os01g0118300	GO:0106245,GO:0006659,GO:0005789,GO:0016021
Os01g0118400	GO:0005794,GO:0016757,GO:0016021
Os01g0118600	GO:0005794,GO:0016757
Os01g0118700	GO:0005794,GO:0016757,GO:0016021
Os01g0119000	GO:0005794,GO:0016757,GO:0016021
Os01g0119100	GO:0005794,GO:0016757,GO:0016021
Os01g0120300	GO:0004823,GO:0006429,GO:0009570,GO:0002161,GO:0106074,GO:0005829,GO:0005739,GO:0005524,GO:0005794,GO:0016020,GO:0009793,GO:0004813,GO:0016757,GO:0003676,GO:0006419
Os01g0120400	GO:0004813,GO:0006419,GO:0005739,GO:0005524,GO:0003676
Os01g0120500	GO:0009507
Os01g0120600	GO:0016491,GO:0009570,GO:0009941,GO:0009579,GO:0005507,GO:0071949,GO:0016021
Os01g0120800	GO:0001732,GO:0033290,GO:0003743,GO:0016282,GO:0005852,GO:0043614,GO:0003729,GO:0003697,GO:0000502,GO:0008270,GO:0005829,GO:0030247,GO:0005886,GO:0002188,GO:0016021
Os01g0121100	GO:0016279,GO:0018022,GO:0005737,GO:0005634,GO:0004176,GO:0004252,GO:0003723,GO:0006508
Os01g0121200	GO:0008270,GO:0016567,GO:0016021,GO:0004842
Os01g0121300	GO:0003677,GO:0016021
Os01g0121500	GO:0016021
Os01g0121700	GO:0140359,GO:0055085,GO:0016021,GO:0005524,GO:0016787
Os01g0121800	GO:0015020,GO:0005794,GO:0016020
Os01g0121900	GO:0006511,GO:0008270,GO:0005737,GO:0016740,GO:0016567,GO:0140096
Os01g0121950	GO:0006511,GO:0008270,GO:0005737,GO:0005886,GO:0016740,GO:0016567,GO:0016021,GO:0140096,GO:0016874,GO:0006468
Os01g0122200	GO:0008270,GO:0006468,GO:0016021,GO:0004672,GO:0005524
Os01g0123700	GO:0006511,GO:0008270,GO:0005737,GO:0016021,GO:0016740,GO:0016567,GO:0140096,GO:0016874,GO:0003677,GO:0006310
Os01g0123800	GO:0006511,GO:0008270,GO:0005737,GO:0016740,GO:0016567
Os01g0123900	GO:0004867,GO:0010951,GO:0005576
Os01g0124000	GO:0004867,GO:0010951,GO:0005576
Os01g0124100	GO:0004867,GO:0010951,GO:0005576
Os01g0124200	GO:0004867,GO:0010951,GO:0005576
Os01g0124401	GO:0004867,GO:0010951,GO:0005576
Os01g0124600	GO:0004867,GO:0010951,GO:0005576
Os01g0124650	GO:0004867,GO:0010951,GO:0005576
Os01g0124900	GO:0008270,GO:0010162,GO:0005730,GO:0043531,GO:0008234,GO:0006952,GO:0045892,GO:0006508
Os01g0125000	GO:0006511,GO:0008270,GO:0005737,GO:0005634,GO:0016740,GO:0016567,GO:0140096,GO:0004615,GO:0003677,GO:0016874,GO:0006013,GO:0006487
Os01g0125500	GO:0006511,GO:0008270,GO:0005737,GO:0016740,GO:0016021,GO:0016567,GO:0140096,GO:0004615,GO:0006013,GO:0006487
Os01g0125600	GO:0046872
Os01g0125700	GO:0016740
Os01g0125900	GO:0061631,GO:0016567,GO:0005829,GO:0016021
Os01g0126100	GO:0005507,GO:0005789,GO:0016491,GO:0016021
Os01g0126200	GO:0005507,GO:0016491
Os01g0126600	GO:0031047
Os01g0126900	GO:0005507,GO:0005789,GO:0016036,GO:0010073,GO:0016491,GO:0080167,GO:0005618,GO:0005794,GO:0005829,GO:0005739,GO:0016021
Os01g0127000	GO:0005507,GO:0005789,GO:0016491,GO:0016021
Os01g0127200	GO:0005507,GO:0005789,GO:0016491,GO:0016021
Os01g0127300	GO:0016226,GO:0009570,GO:0010027,GO:0009793
Os01g0127450	GO:0005634,GO:0010023,GO:0000976,GO:0009813,GO:0006970,GO:0005515,GO:0003700,GO:0005524,GO:0030154,GO:0006633,GO:0006355
Os01g0127500	GO:0016616,GO:0006694,GO:0016021,GO:0016621,GO:0016229
Os01g0127900	GO:0004476,GO:0009298,GO:0005829,GO:0016021,GO:0008270,GO:0005975,GO:0006057,GO:0031506,GO:0006486
Os01g0128000	GO:0043565,GO:0005634,GO:0006355,GO:0003700,GO:0003824
Os01g0128100	GO:0006308,GO:0004519,GO:0009507,GO:0016021,GO:0008309,GO:0046872,GO:0090305,GO:0003676,GO:0004540,GO:0071949,GO:0016070
Os01g0128200	GO:0006308,GO:0004519,GO:0005762,GO:0046872,GO:0003676,GO:0016021,GO:0090305,GO:0003735,GO:0032543,GO:0015074
Os01g0128300	GO:0016021,GO:0009688,GO:0009941,GO:0032928,GO:0016122
Os01g0128800	GO:0006869,GO:0008289,GO:0005783,GO:0016021
Os01g0129200	GO:0010097,GO:0005634,GO:0046872,GO:0010094,GO:0005515,GO:0003700,GO:0016021,GO:0008285,GO:0030154,GO:0048653,GO:0009965,GO:0009909,GO:0006355
Os01g0129500	GO:0016301,GO:0016310,GO:0016021
Os01g0129600	GO:0010468,GO:0004088,GO:0016021,GO:0005515,GO:0071456,GO:1903506,GO:2000112
Os01g0130000	GO:0008324,GO:0098655,GO:0005774,GO:0016021
Os01g0130400	GO:0030246,GO:0005975,GO:0004553
Os01g0131600	GO:0009873,GO:0003700,GO:0005634,GO:0003677,GO:0006355
Os01g0131800	GO:0005787,GO:0006465,GO:0008233,GO:0045047,GO:0016021,GO:0009506,GO:0005618
Os01g0131900	GO:0004867,GO:0010951,GO:0005576
Os01g0132000	GO:0004867,GO:0010951,GO:0005576
Os01g0132100	GO:0005886,GO:0016021
Os01g0132700	GO:0016592,GO:0003712,GO:0006357,GO:0005515
Os01g0132766	GO:0010090
Os01g0132800	GO:0004045,GO:0009570,GO:0008380,GO:0006397
