GeneID	GOID
Os01g0100100	GO:0090630
Os01g0100100	GO:0005096
Os01g0100100	GO:0016021
Os01g0100100	GO:0005507
Os01g0100100	GO:0006886
Os01g0100100	GO:0016491
Os01g0100400	GO:0005507
Os01g0100400	GO:0046658
Os01g0100400	GO:0006508
Os01g0100400	GO:0016491
Os01g0100400	GO:0009506
Os01g0100400	GO:0004185
Os01g0100400	GO:0016021
Os01g0100500	GO:0005507
Os01g0100500	GO:0016021
Os01g0100500	GO:0016491
Os01g0100600	GO:0003676
Os01g0100600	GO:0016310
Os01g0100600	GO:0016301
Os01g0100650	GO:0016021
Os01g0100700	GO:0015935
Os01g0100700	GO:0003735
Os01g0100700	GO:0006412
Os01g0100700	GO:0003723
Os01g0100700	GO:0022626
Os01g0100700	GO:0000028
Os01g0100900	GO:0030170
Os01g0100900	GO:0019752
Os01g0100900	GO:0005783
Os01g0100900	GO:0016830
Os01g0100900	GO:0030149
Os01g0100900	GO:0016021
Os01g0100900	GO:0042175
Os01g0100900	GO:0031984
Os01g0100900	GO:0031090
Os01g0101150	GO:0008270
Os01g0101150	GO:0009451
Os01g0101150	GO:0043231
Os01g0101150	GO:0003723
Os01g0101150	GO:0005737
Os01g0101150	GO:0016787
Os01g0101150	GO:0000959
Os01g0101150	GO:0016071
Os01g0101150	GO:0140053
Os01g0101150	GO:0006396
Os01g0101200	GO:0043874
Os01g0101200	GO:0019509
Os01g0101200	GO:0005737
Os01g0101200	GO:0000287
Os01g0101200	GO:0008270
Os01g0101200	GO:0016311
Os01g0101200	GO:0016829
Os01g0101600	GO:0003723
Os01g0101600	GO:0046872
Os01g0101700	GO:0061077
Os01g0101700	GO:0009507
Os01g0101700	GO:0005515
Os01g0101700	GO:1902395
Os01g0101700	GO:0010322
Os01g0101700	GO:0008270
Os01g0101700	GO:0005524
Os01g0101700	GO:0005634
Os01g0101700	GO:0016021
Os01g0101700	GO:0009408
Os01g0101700	GO:0006260
Os01g0102000	GO:0016788
Os01g0102000	GO:0009395
Os01g0102000	GO:0009507
Os01g0102000	GO:0048229
Os01g0102000	GO:0048364
Os01g0102000	GO:0005576
Os01g0102000	GO:0016021
Os01g0102300	GO:0009543
Os01g0102300	GO:0005829
Os01g0102400	GO:0046982
Os01g0102400	GO:0045944
Os01g0102400	GO:0005634
Os01g0102400	GO:0003677
Os01g0102400	GO:0001228
Os01g0102600	GO:0016301
Os01g0102600	GO:0016310
Os01g0102600	GO:0009507
Os01g0102700	GO:0005783
Os01g0102700	GO:0042175
Os01g0102700	GO:0031984
Os01g0102700	GO:0031090
Os01g0102700	GO:0009506
Os01g0102700	GO:0005773
Os01g0102700	GO:0005794
Os01g0102700	GO:0016021
Os01g0102800	GO:0070615
Os01g0102800	GO:0006283
Os01g0102800	GO:0005634
Os01g0102800	GO:0005524
Os01g0102800	GO:0008094
Os01g0102800	GO:0003677
Os01g0102800	GO:0016787
Os01g0102900	GO:0009507
Os01g0102900	GO:0007623
Os01g0102900	GO:0008373
Os01g0102900	GO:0008270
Os01g0102900	GO:0071482
Os01g0102900	GO:0009532
Os01g0102900	GO:0007034
Os01g0102900	GO:0009846
Os01g0102900	GO:0055035
Os01g0102900	GO:0009860
Os01g0102900	GO:0097503
Os01g0102900	GO:0098796
Os01g0102900	GO:0005768
Os01g0102900	GO:0006486
Os01g0102900	GO:0000139
Os01g0102900	GO:0016021
Os01g0103000	GO:0007034
Os01g0103000	GO:0005768
Os01g0103000	GO:0005515
Os01g0103000	GO:0032509
Os01g0103000	GO:0006900
Os01g0103000	GO:0012506
Os01g0103000	GO:0098588
Os01g0103000	GO:0015031
Os01g0103100	GO:0006857
Os01g0103100	GO:0022857
Os01g0103100	GO:0016021
Os01g0103100	GO:0055085
Os01g0103600	GO:0047750
Os01g0103600	GO:0016125
Os01g0103600	GO:0005789
Os01g0103600	GO:0000247
Os01g0103600	GO:0004769
Os01g0103600	GO:0006694
Os01g0103600	GO:1901617
Os01g0103600	GO:0016021
Os01g0103600	GO:0006952
Os01g0103600	GO:0005886
Os01g0104000	GO:0004713
Os01g0104000	GO:0018108
Os01g0104000	GO:0016021
Os01g0104000	GO:0030246
Os01g0104000	GO:0005886
Os01g0104000	GO:0005524
Os01g0104000	GO:0106310
Os01g0104000	GO:0106311
Os01g0104000	GO:0019199
Os01g0104100	GO:1902551
Os01g0104100	GO:0005829
Os01g0104100	GO:0016874
Os01g0104100	GO:0005634
Os01g0104100	GO:2000470
Os01g0104100	GO:0035556
Os01g0104200	GO:0006355
Os01g0104200	GO:0003677
Os01g0104200	GO:0005634
Os01g0104200	GO:0048731
Os01g0104500	GO:0006355
Os01g0104500	GO:0003677
Os01g0104500	GO:0005783
Os01g0104500	GO:0005634
Os01g0104500	GO:0042803
Os01g0104500	GO:0016021
Os01g0104500	GO:0001067
Os01g0104500	GO:0003700
Os01g0104500	GO:2000014
Os01g0104500	GO:1903508
Os01g0104500	GO:1901406
Os01g0104500	GO:0010271
Os01g0104500	GO:1900057
Os01g0104600	GO:0005975
Os01g0104600	GO:1990756
Os01g0104600	GO:0031461
Os01g0104600	GO:0032436
Os01g0104600	GO:0031625
Os01g0104600	GO:0005634
Os01g0104600	GO:0016021
Os01g0104600	GO:0006281
Os01g0104600	GO:0016567
Os01g0104600	GO:0009585
Os01g0104800	GO:0000462
Os01g0104800	GO:0032040
Os01g0104800	GO:0005730
Os01g0104900	GO:0016747
Os01g0105700	GO:0046983
Os01g0105700	GO:0005634
Os01g0105700	GO:0006357
Os01g0105700	GO:0000978
Os01g0105700	GO:0000981
Os01g0105800	GO:0016226
Os01g0105800	GO:0051536
Os01g0105800	GO:0005739
Os01g0105800	GO:0046872
Os01g0105800	GO:0097428
Os01g0105900	GO:0016301
Os01g0105900	GO:0016310
Os01g0105900	GO:0015935
Os01g0105900	GO:0016773
Os01g0105900	GO:0046031
Os01g0105900	GO:0003735
Os01g0105900	GO:0016021
Os01g0105900	GO:0006090
Os01g0105900	GO:0016052
Os01g0105900	GO:0046034
Os01g0105900	GO:0006091
Os01g0105900	GO:0006412
Os01g0106300	GO:0016491
Os01g0106300	GO:0009806
Os01g0106300	GO:0016021
Os01g0106300	GO:0009699
Os01g0106300	GO:0046686
Os01g0106700	GO:0106310
Os01g0106700	GO:0006974
Os01g0106700	GO:0005634
Os01g0106700	GO:0106311
Os01g0106700	GO:0006468
Os01g0106700	GO:0016021
Os01g0106700	GO:0006259
Os01g0106700	GO:0005524
Os01g0106700	GO:1904262
Os01g0106700	GO:2001020
Os01g0106700	GO:0003950
Os01g0106700	GO:0031570
Os01g0106700	GO:0032200
Os01g0106700	GO:0060249
Os01g0106700	GO:0008380
Os01g0106800	GO:0008270
Os01g0106800	GO:0031461
Os01g0106800	GO:0006511
Os01g0106800	GO:0097602
Os01g0106800	GO:0016567
Os01g0106800	GO:0005634
Os01g0106800	GO:0061630
Os01g0106800	GO:0005737
Os01g0106800	GO:0016021
Os01g0106800	GO:0016301
Os01g0106800	GO:0005524
Os01g0106800	GO:0016310
Os01g0106900	GO:0030604
Os01g0106900	GO:0019288
Os01g0106900	GO:0009570
Os01g0106900	GO:0070402
Os01g0106900	GO:0046872
Os01g0106900	GO:0016021
Os01g0106900	GO:0016853
Os01g0106900	GO:0051483
Os01g0106900	GO:0046686
Os01g0107000	GO:0016560
Os01g0107000	GO:0005778
Os01g0107000	GO:0005102
Os01g0107000	GO:1990429
Os01g0107000	GO:0016021
Os01g0107000	GO:0005829
Os01g0107000	GO:0005739
Os01g0107000	GO:0005886
Os01g0107700	GO:0006486
Os01g0107700	GO:0005794
Os01g0107700	GO:0016757
Os01g0107700	GO:0098588
Os01g0107700	GO:0031984
Os01g0107700	GO:0016021
Os01g0107700	GO:0005938
Os01g0107700	GO:0005783
Os01g0107700	GO:0097036
Os01g0107700	GO:0032366
Os01g0107700	GO:0016125
Os01g0107700	GO:0006665
Os01g0107900	GO:0010343
Os01g0107900	GO:0042651
Os01g0107900	GO:0009507
Os01g0107900	GO:0016021
Os01g0108200	GO:0004252
Os01g0108200	GO:0006508
Os01g0108200	GO:0005829
Os01g0108200	GO:0009507
Os01g0108200	GO:0070012
Os01g0108200	GO:0005739
Os01g0108400	GO:0006357
Os01g0108400	GO:0046983
Os01g0108400	GO:0090575
Os01g0108400	GO:0003700
Os01g0108400	GO:0003677
Os01g0108400	GO:0001067
Os01g0108400	GO:0016021
Os01g0108600	GO:0006357
Os01g0108600	GO:0046983
Os01g0108600	GO:0090575
Os01g0108600	GO:0003700
Os01g0108600	GO:0003677
Os01g0108600	GO:0001067
Os01g0108600	GO:0050832
Os01g0109300	GO:0016787
Os01g0109300	GO:0006203
