SampleID	Sepal.Length	Sepal.Width	Petal.Length	Petal.Width
S1	5.1	3.5	1.4	0.2
S2	4.9	3	1.4	0.2
S3	4.7	3.2	1.3	0.2
S4	4.6	3.1	1.5	0.2
S5	5	3.6	1.4	0.2
S6	5.4	3.9	1.7	0.4
S7	4.6	3.4	1.4	0.3
S8	5	3.4	1.5	0.2
S9	4.4	2.9	1.4	0.2
S10	4.9	3.1	1.5	0.1
S11	5.4	3.7	1.5	0.2
S12	4.8	3.4	1.6	0.2
S13	4.8	3	1.4	0.1
S14	4.3	3	1.1	0.1
S15	5.8	4	1.2	0.2
S16	5.7	4.4	1.5	0.4
S17	5.4	3.9	1.3	0.4
S18	5.1	3.5	1.4	0.3
S19	5.7	3.8	1.7	0.3
S20	5.1	3.8	1.5	0.3
S21	5.4	3.4	1.7	0.2
S22	5.1	3.7	1.5	0.4
S23	4.6	3.6	1	0.2
S24	5.1	3.3	1.7	0.5
S25	4.8	3.4	1.9	0.2
S26	5	3	1.6	0.2
S27	5	3.4	1.6	0.4
S28	5.2	3.5	1.5	0.2
S29	5.2	3.4	1.4	0.2
S30	4.7	3.2	1.6	0.2
S31	4.8	3.1	1.6	0.2
S32	5.4	3.4	1.5	0.4
S33	5.2	4.1	1.5	0.1
S34	5.5	-	1.4	0.2
S35	4.9	3.1	1.5	0.2
S36	5	-	1.2	0.2
S37	5.5	3.5	1.3	0.2
S38	4.9	3.6	1.4	0.1
S39	4.4	3	1.3	0.2
S40	5.1	3.4	1.5	0.2
S41	5	3.5	1.3	0.3
S42	4.5	2.3	1.3	0.3
S43	4.4	3.2	1.3	0.2
S44	5	3.5	1.6	0.6
S45	5.1	3.8	1.9	-
S46	4.8	3	1.4	0.3
S47	5.1	3.8	1.6	0.2
S48	4.6	3.2	1.4	0.2
S49	5.3	3.7	1.5	0.2
S50	5	3.3	1.4	0.2
S51	7	3.2	4.7	1.4
S52	6.4	3.2	4.5	1.5
S53	6.9	3.1	4.9	1.5
S54	5.5	2.3	4	1.3
S55	6.5	2.8	4.6	1.5
S56	5.7	2.8	4.5	1.3
S57	6.3	3.3	4.7	1.6
S58	4.9	2.4	3.3	1
S59	6.6	2.9	4.6	1.3
S60	5.2	2.7	3.9	1.4
S61	5	2	3.5	1
S62	5.9	3	4.2	1.5
S63	6	2.2	4	1
S64	6.1	2.9	4.7	1.4
S65	5.6	2.9	3.6	1.3
S66	6.7	3.1	4.4	1.4
S67	5.6	3	4.5	1.5
S68	5.8	2.7	4.1	1
S69	6.2	2.2	4.5	1.5
S70	5.6	2.5	3.9	1.1
S71	5.9	3.2	4.8	1.8
S72	6.1	2.8	4	1.3
S73	6.3	2.5	4.9	1.5
S74	6.1	2.8	4.7	1.2
S75	6.4	2.9	4.3	1.3
S76	6.6	3	4.4	1.4
S77	6.8	2.8	4.8	1.4
S78	6.7	3	5	1.7
S79	6	2.9	4.5	1.5
S80	5.7	2.6	3.5	1
S81	5.5	2.4	3.8	1.1
S82	5.5	2.4	3.7	1
S83	5.8	2.7	3.9	1.2
S84	6	2.7	5.1	1.6
S85	5.4	3	4.5	1.5
S86	6	3.4	4.5	1.6
S87	6.7	3.1	4.7	1.5
S88	6.3	2.3	4.4	1.3
S89	5.6	3	4.1	1.3
S90	5.5	2.5	4	1.3
S91	5.5	2.6	4.4	1.2
S92	6.1	3	4.6	1.4
S93	5.8	2.6	4	1.2
S94	5	2.3	3.3	1
S95	5.6	2.7	4.2	1.3
S96	5.7	3	4.2	1.2
S97	5.7	2.9	4.2	1.3
S98	6.2	2.9	4.3	1.3
S99	5.1	2.5	3	1.1
S100	5.7	2.8	4.1	1.3
S101	6.3	3.3	6	2.5
S102	5.8	2.7	5.1	1.9
S103	7.1	3	5.9	2.1
S104	6.3	2.9	5.6	1.8
S105	6.5	3	5.8	2.2
S106	7.6	3	6.6	2.1
S107	4.9	2.5	4.5	1.7
S108	7.3	2.9	6.3	1.8
S109	6.7	2.5	5.8	1.8
S110	7.2	3.6	6.1	2.5
S111	6.5	3.2	5.1	2
S112	6.4	2.7	5.3	1.9
S113	6.8	3	5.5	2.1
S114	5.7	2.5	5	2
S115	5.8	2.8	5.1	2.4
S116	6.4	3.2	5.3	2.3
S117	6.5	3	5.5	1.8
S118	7.7	3.8	6.7	2.2
S119	7.7	2.6	6.9	2.3
S120	6	2.2	5	1.5
S121	6.9	3.2	5.7	2.3
S122	5.6	2.8	4.9	2
S123	7.7	2.8	6.7	2
S124	6.3	2.7	4.9	1.8
S125	6.7	3.3	5.7	2.1
S126	7.2	3.2	6	1.8
S127	6.2	2.8	4.8	1.8
S128	6.1	3	4.9	1.8
S129	6.4	2.8	5.6	2.1
S130	7.2	3	5.8	1.6
S131	7.4	2.8	6.1	1.9
S132	7.9	3.8	6.4	2
S133	6.4	2.8	5.6	2.2
S134	6.3	2.8	5.1	1.5
S135	6.1	2.6	5.6	1.4
S136	7.7	3	6.1	2.3
S137	6.3	3.4	5.6	2.4
S138	6.4	3.1	5.5	1.8
S139	6	3	4.8	1.8
S140	6.9	3.1	5.4	2.1
S141	6.7	3.1	5.6	2.4
S142	6.9	3.1	5.1	2.3
S143	5.8	2.7	5.1	1.9
S144	6.8	3.2	5.9	2.3
S145	6.7	3.3	5.7	2.5
S146	6.7	3	5.2	2.3
S147	6.3	2.5	5	1.9
S148	6.5	3	5.2	2
S149	6.2	3.4	5.4	2.3
S150	5.9	3	5.1	1.8
