GeneID	KOID	PathwayID
gid100005.0.1	K01956	map00240
gid100005.0.1	K01956	map00250
gid10002.0.1	K00844	map00010
gid10002.0.1	K00844	map00051
gid10002.0.1	K00844	map00052
gid10002.0.1	K00844	map00500
gid10002.0.1	K00844	map00520
gid10002.0.1	K00844	map00524
gid100032.0.1	K09517	map04141
gid10005.0.1	K01739	map00270
gid10005.0.1	K01739	map00450
gid10005.0.1	K01739	map00920
gid100065.0.1	K03063	map03050
gid100090.0.1	K00927	map00010
gid100090.0.1	K00927	map00710
gid100108.0.3	K12815	map03040
gid100119.0.2	K01099	map00562
gid100119.0.2	K01099	map04070
gid10011.0.1	K05658	map02010
gid100126.0.2	K06688	map04120
gid100138.0.1	K14409	map03015
gid10013.0.1	K01759	map00620
gid10014.0.2	K05933	map00270
gid10014.0.3	K04125	map00904
gid10015.0.1	K13263	map00943
gid100204.0.1	K01885	map00860
gid100204.0.1	K01885	map00970
gid10023.0.1	K11093	map03040
gid10024.0.1	K01765	map00562
gid100265.0.2	K01897	map00061
gid100265.0.2	K01897	map00071
gid100265.0.2	K01897	map04146
gid10027.0.1	K13459	map04626
gid10029.0.1	K11866	map04144
gid100305.0.1	K14561	map03008
gid100310.0.1	K01883	map00970
gid100315.0.1	K14506	map04075
gid10032.0.1	K15633	map00010
gid10032.0.1	K15633	map00260
gid10033.0.1	K03137	map03022
gid100354.0.2	K10573	map04120
gid100354.0.3	K10573	map04120
gid100384.0.1	K13420	map04016
gid100384.0.1	K13420	map04626
gid100389.0.1	K14324	map03013
gid100389.0.1	K14324	map03015
gid100401.1.1	K14485	map04075
gid10041.0.1	K02908	map03010
gid10042.0.1	K07375	map04145
gid10042.0.2	K07375	map04145
gid10042.0.3	K07375	map04145
gid10042.0.4	K07375	map04145
gid10042.1.1	K07375	map04145
gid10042.2.1	K07375	map04145
gid10042.3.1	K07375	map04145
gid10044.0.1	K02639	map00195
gid100457.1.1	K08330	map04136
gid10048.0.1	K02639	map00195
gid100504.0.1	K00699	map00040
gid100504.0.1	K00699	map00053
gid100504.0.1	K00699	map00860
gid10050.0.1	K01623	map00010
gid10050.0.1	K01623	map00030
gid10050.0.1	K01623	map00051
gid10050.0.1	K01623	map00710
gid100520.0.1	K12856	map03040
gid100548.1.1	K00487	map00130
gid100548.1.1	K00487	map00360
gid100548.1.1	K00487	map00940
gid100548.1.1	K00487	map00941
gid100548.1.1	K00487	map00945
gid10056.0.1	K18693	map00561
gid10056.0.1	K18693	map00564
gid100570.0.2	K13415	map04075
gid100579.0.1	K00387	map00920
gid100579.0.2	K00387	map00920
gid10060.0.1	K14431	map04075
gid100621.0.1	K13459	map04626
gid10064.0.1	K00558	map00270
gid10065.0.1	K11866	map04144
gid100676.0.1	K14297	map03013
gid100677.0.3	K01711	map00051
gid100677.0.3	K01711	map00520
gid10067.0.1	K00011	map00040
gid10067.0.1	K00011	map00051
gid10067.0.1	K00011	map00052
gid10067.0.1	K00011	map00561
gid10067.0.1	K00011	map00790
gid10068.0.2	K19366	map04144
gid1006.0.1	K01869	map00970
gid10070.0.1	K07889	map04144
gid10070.0.1	K07889	map04145
gid100713.0.1	K04564	map04146
gid100716.0.1	K14290	map03008
gid100716.0.1	K14290	map03013
gid100717.1.1	K03029	map03050
gid100732.0.1	K03026	map00230
gid100732.0.1	K03026	map00240
gid100732.0.1	K03026	map03020
gid100742.0.1	K02146	map00190
gid100742.0.1	K02146	map04145
gid10075.0.1	K02876	map03010
gid100769.0.1	K12852	map03040
gid100769.0.2	K12852	map03040
gid100769.0.3	K12852	map03040
gid100769.0.4	K12852	map03040
gid100771.0.2	K00006	map00564
gid100786.0.3	K13917	map03015
gid100804.0.1	K07441	map00510
gid100837.0.1	K12125	map04712
gid100852.0.1	K14290	map03008
gid100852.0.1	K14290	map03013
gid100858.0.1	K00030	map00020
gid10087.0.1	K01728	map00040
gid10088.0.1	K12600	map03018
gid100896.0.1	K14376	map03015
gid100905.0.1	K11096	map03040
gid10090.0.1	K11093	map03040
gid10092.0.1	K08232	map00053
