qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
Os01g0100100	BP	0090630	activation of GTPase activity	11.5016411387	0.797132289957	1
Os01g0100100	MF	0005096	GTPase activator activity	7.21801201443	0.694799520662	1
Os01g0100100	CC	0016021	integral component of membrane	0.0623446810693	0.340954867325	1
Os01g0100100	MF	0005507	copper ion binding	0.587798245612	0.416021938198	7
Os01g0100100	BP	0006886	intracellular protein transport	5.96617741756	0.659362032281	8
Os01g0100100	MF	0016491	oxidoreductase activity	0.198104838334	0.369327023998	9
Os01g0100400	MF	0005507	copper ion binding	8.43095606217	0.726304297769	1
Os01g0100400	CC	0046658	anchored component of plasma membrane	1.52861845404	0.484221374803	1
Os01g0100400	BP	0006508	proteolysis	0.0607047344202	0.34047485631	1
Os01g0100400	MF	0016491	oxidoreductase activity	2.82419829126	0.548713699498	3
Os01g0100400	CC	0009506	plasmodesma	0.636672137612	0.420557602876	4
Os01g0100400	MF	0004185	serine-type carboxypeptidase activity	0.131851337612	0.357424064951	12
Os01g0100400	CC	0016021	integral component of membrane	0.226428437116	0.373792689894	13
Os01g0100500	MF	0005507	copper ion binding	1.15998132877	0.461083927415	1
Os01g0100500	CC	0016021	integral component of membrane	0.900387566207	0.44247847101	1
Os01g0100500	MF	0016491	oxidoreductase activity	0.390946919837	0.395487386507	3
Os01g0100600	MF	0003676	nucleic acid binding	2.26096522712	0.52303007196	1
Os01g0100600	BP	0016310	phosphorylation	1.13110791075	0.459125364907	1
Os01g0100600	MF	0016301	kinase activity	1.25141161715	0.467130173246	4
Os01g0100650	CC	0016021	integral component of membrane	0.897286741668	0.442241020303	1
Os01g0100700	CC	0015935	small ribosomal subunit	7.71437035187	0.707989447796	1
Os01g0100700	MF	0003735	structural constituent of ribosome	3.78103276573	0.587039627118	1
Os01g0100700	BP	0006412	translation	3.49545672723	0.576167961274	1
Os01g0100700	MF	0003723	RNA binding	3.50696686895	0.576614550506	3
Os01g0100700	CC	0022626	cytosolic ribosome	1.94604652897	0.507255120429	9
Os01g0100700	BP	0000028	ribosomal small subunit assembly	2.61559381505	0.539529020835	10
Os01g0100900	MF	0030170	pyridoxal phosphate binding	6.42867608551	0.672852190076	1
Os01g0100900	BP	0019752	carboxylic acid metabolic process	3.41474465191	0.573015482382	1
Os01g0100900	CC	0005783	endoplasmic reticulum	1.54666726307	0.485278093284	1
Os01g0100900	MF	0016830	carbon-carbon lyase activity	6.35977629381	0.670874026924	3
Os01g0100900	BP	0030149	sphingolipid catabolic process	2.85940999826	0.550230151651	4
Os01g0100900	CC	0016021	integral component of membrane	0.168821914451	0.36435969473	9
Os01g0100900	CC	0042175	nuclear outer membrane-endoplasmic reticulum membrane network	0.150889923817	0.361102289842	13
Os01g0100900	CC	0031984	organelle subcompartment	0.12492077967	0.356019682332	15
Os01g0100900	CC	0031090	organelle membrane	0.0875792965757	0.347670196798	16
Os01g0101150	MF	0008270	zinc ion binding	4.31813735195	0.606427463975	1
Os01g0101150	BP	0009451	RNA modification	0.696201586199	0.425852985477	1
Os01g0101150	CC	0043231	intracellular membrane-bounded organelle	0.364929480967	0.392414439201	1
Os01g0101150	MF	0003723	RNA binding	0.391553261101	0.395557762827	7
Os01g0101150	CC	0005737	cytoplasm	0.0377485915748	0.33291090332	9
Os01g0101150	MF	0016787	hydrolase activity	0.031049125691	0.330285346566	11
Os01g0101150	BP	0000959	mitochondrial RNA metabolic process	0.178943159409	0.366122030148	13
Os01g0101150	BP	0016071	mRNA metabolic process	0.0896784218648	0.348182108451	21
Os01g0101150	BP	0140053	mitochondrial gene expression	0.0773636863787	0.345086404822	22
Os01g0101150	BP	0006396	RNA processing	0.0318643573703	0.330619057101	26
Os01g0101200	MF	0043874	acireductone synthase activity	14.0622453762	0.845180941356	1
Os01g0101200	BP	0019509	L-methionine salvage from methylthioadenosine	10.5870793993	0.777148746911	1
Os01g0101200	CC	0005737	cytoplasm	1.00395316823	0.450186716933	1
Os01g0101200	MF	0000287	magnesium ion binding	5.60250384286	0.648382720862	4
Os01g0101200	MF	0008270	zinc ion binding	0.835631757787	0.437431525173	11
